2024-05-09 | 23:00:20.074 | utdownHook |  INFO | com.zaxxer.hikari.HikariDataSource  | HikariPool-1 - Shutdown completed.
2024-05-09 | 23:00:25.865 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | Starting WarehouseManagementApplication using Java 21.0.2 with PID 29576 (C:\Users\gm96k\Desktop\Warehouse-Management\target\classes started by gersimuca in C:\Users\gm96k\Desktop\Warehouse-Management)
2024-05-09 | 23:00:25.866 | tartedMain |  INFO | .W.M.WarehouseManagementApplication | The following 1 profile is active: "dev"
2024-05-09 | 23:00:25.937 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-09 | 23:00:25.937 | tartedMain |  INFO | vToolsPropertyDefaultsPostProcessor | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-09 | 23:00:26.584 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-09 | 23:00:26.629 | tartedMain |  INFO | r.c.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 39 ms. Found 5 JPA repository interfaces.
2024-05-09 | 23:00:27.302 | tartedMain |  INFO | o.s.b.w.e.tomcat.TomcatWebServer    | Tomcat initialized with port 9443 (http)
2024-05-09 | 23:00:27.388 | tartedMain |  INFO | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-9443"]
2024-05-09 | 23:00:27.396 | tartedMain |  INFO | o.a.catalina.core.StandardService   | Starting service [Tomcat]
2024-05-09 | 23:00:27.396 | tartedMain |  INFO | o.a.catalina.core.StandardEngine    | Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-09 | 23:00:27.454 | tartedMain |  INFO | o.a.c.c.C.[.[localhost].[/rest-api] | Initializing Spring embedded WebApplicationContext
2024-05-09 | 23:00:27.454 | tartedMain |  INFO | .ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 1516 ms
